Training: 2021-07-23 13:07:23,927-rank_id: 0
Training: 2021-07-23 14:12:24,136-Speed 859.00 samples/sec   Loss 26.6947 ArcLoss 25.3407 MSE 1.3540  Epoch: 0   Global Step: 6600   Required: 47 hours
Training: 2021-07-23 14:12:53,851-Speed 862.32 samples/sec   Loss 26.4017 ArcLoss 25.0471 MSE 1.3546  Epoch: 0   Global Step: 6650   Required: 47 hours
Training: 2021-07-23 14:13:23,893-Speed 852.89 samples/sec   Loss 26.3225 ArcLoss 24.9757 MSE 1.3468  Epoch: 0   Global Step: 6700   Required: 47 hours
Training: 2021-07-23 14:13:53,146-Speed 876.03 samples/sec   Loss 26.5282 ArcLoss 25.1789 MSE 1.3493  Epoch: 0   Global Step: 6750   Required: 47 hours
Training: 2021-07-23 14:14:21,975-Speed 888.80 samples/sec   Loss 26.3735 ArcLoss 25.0280 MSE 1.3455  Epoch: 0   Global Step: 6800   Required: 47 hours
Training: 2021-07-23 14:14:51,081-Speed 880.44 samples/sec   Loss 26.0948 ArcLoss 24.7489 MSE 1.3459  Epoch: 0   Global Step: 6850   Required: 47 hours
Training: 2021-07-23 14:15:19,894-Speed 889.66 samples/sec   Loss 26.3356 ArcLoss 24.9907 MSE 1.3448  Epoch: 0   Global Step: 6900   Required: 47 hours
Training: 2021-07-23 14:15:49,102-Speed 877.30 samples/sec   Loss 26.2751 ArcLoss 24.9315 MSE 1.3436  Epoch: 0   Global Step: 6950   Required: 47 hours
Training: 2021-07-23 14:16:17,925-Speed 889.08 samples/sec   Loss 26.0128 ArcLoss 24.6702 MSE 1.3426  Epoch: 0   Global Step: 7000   Required: 47 hours
Training: 2021-07-23 14:16:47,033-Speed 880.62 samples/sec   Loss 25.9979 ArcLoss 24.6588 MSE 1.3391  Epoch: 0   Global Step: 7050   Required: 47 hours
Training: 2021-07-23 14:17:15,857-Speed 888.96 samples/sec   Loss 25.6978 ArcLoss 24.3636 MSE 1.3342  Epoch: 0   Global Step: 7100   Required: 47 hours
Training: 2021-07-23 14:17:44,945-Speed 880.90 samples/sec   Loss 25.8018 ArcLoss 24.4668 MSE 1.3350  Epoch: 0   Global Step: 7150   Required: 47 hours
Training: 2021-07-23 14:18:13,762-Speed 889.21 samples/sec   Loss 25.7313 ArcLoss 24.3979 MSE 1.3334  Epoch: 0   Global Step: 7200   Required: 47 hours
Training: 2021-07-23 14:18:42,696-Speed 885.96 samples/sec   Loss 26.0324 ArcLoss 24.6984 MSE 1.3340  Epoch: 0   Global Step: 7250   Required: 47 hours
Training: 2021-07-23 14:19:11,798-Speed 880.58 samples/sec   Loss 25.5479 ArcLoss 24.2194 MSE 1.3285  Epoch: 0   Global Step: 7300   Required: 47 hours
Training: 2021-07-23 14:19:40,626-Speed 889.21 samples/sec   Loss 25.6856 ArcLoss 24.3568 MSE 1.3288  Epoch: 0   Global Step: 7350   Required: 47 hours
Training: 2021-07-23 14:20:09,709-Speed 881.11 samples/sec   Loss 25.4966 ArcLoss 24.1675 MSE 1.3291  Epoch: 0   Global Step: 7400   Required: 47 hours
Training: 2021-07-23 14:20:38,515-Speed 889.55 samples/sec   Loss 25.6783 ArcLoss 24.3528 MSE 1.3256  Epoch: 0   Global Step: 7450   Required: 47 hours
Training: 2021-07-23 14:21:07,436-Speed 886.38 samples/sec   Loss 25.2932 ArcLoss 23.9694 MSE 1.3238  Epoch: 0   Global Step: 7500   Required: 47 hours
Training: 2021-07-23 14:21:36,531-Speed 880.68 samples/sec   Loss 25.6185 ArcLoss 24.2940 MSE 1.3245  Epoch: 0   Global Step: 7550   Required: 47 hours
Training: 2021-07-23 14:22:05,705-Speed 878.32 samples/sec   Loss 25.2356 ArcLoss 23.9117 MSE 1.3239  Epoch: 0   Global Step: 7600   Required: 47 hours
Training: 2021-07-23 14:22:34,514-Speed 889.42 samples/sec   Loss 25.2432 ArcLoss 23.9276 MSE 1.3155  Epoch: 0   Global Step: 7650   Required: 47 hours
Training: 2021-07-23 14:23:03,327-Speed 889.35 samples/sec   Loss 24.8883 ArcLoss 23.5689 MSE 1.3194  Epoch: 0   Global Step: 7700   Required: 47 hours
