Training: 2021-07-14 14:41:30,833-rank_id: 0
Training: 2021-07-14 15:13:44,982-Speed 1104.73 samples/sec   Loss 30.4326   Epoch: 0   Global Step: 7900   Required: 21 hours
Training: 2021-07-14 15:13:56,487-Speed 1112.61 samples/sec   Loss 30.2260   Epoch: 0   Global Step: 7950   Required: 21 hours
Training: 2021-07-14 15:14:08,069-Speed 1105.16 samples/sec   Loss 30.4198   Epoch: 0   Global Step: 8000   Required: 21 hours
Training: 2021-07-14 15:14:19,723-Speed 1098.42 samples/sec   Loss 30.1037   Epoch: 0   Global Step: 8050   Required: 21 hours
Training: 2021-07-14 15:14:31,397-Speed 1096.42 samples/sec   Loss 29.8207   Epoch: 0   Global Step: 8100   Required: 21 hours
Training: 2021-07-14 15:14:43,108-Speed 1093.08 samples/sec   Loss 29.8539   Epoch: 0   Global Step: 8150   Required: 21 hours
Training: 2021-07-14 15:14:54,585-Speed 1115.28 samples/sec   Loss 29.7659   Epoch: 0   Global Step: 8200   Required: 21 hours
Training: 2021-07-14 15:15:05,983-Speed 1123.26 samples/sec   Loss 29.8114   Epoch: 0   Global Step: 8250   Required: 21 hours
Training: 2021-07-14 15:15:17,454-Speed 1115.87 samples/sec   Loss 29.8792   Epoch: 0   Global Step: 8300   Required: 21 hours
Training: 2021-07-14 15:15:28,618-Speed 1146.59 samples/sec   Loss 29.6950   Epoch: 0   Global Step: 8350   Required: 21 hours
Training: 2021-07-14 15:15:40,055-Speed 1119.17 samples/sec   Loss 29.4872   Epoch: 0   Global Step: 8400   Required: 21 hours
Training: 2021-07-14 15:15:51,418-Speed 1126.58 samples/sec   Loss 29.2911   Epoch: 0   Global Step: 8450   Required: 21 hours
Training: 2021-07-14 15:16:03,277-Speed 1079.35 samples/sec   Loss 29.1800   Epoch: 0   Global Step: 8500   Required: 21 hours
Training: 2021-07-14 15:16:16,041-Speed 1002.83 samples/sec   Loss 29.0328   Epoch: 0   Global Step: 8550   Required: 21 hours
Training: 2021-07-14 15:16:29,008-Speed 987.15 samples/sec   Loss 28.9328   Epoch: 0   Global Step: 8600   Required: 21 hours
Training: 2021-07-14 15:16:41,501-Speed 1024.63 samples/sec   Loss 28.9576   Epoch: 0   Global Step: 8650   Required: 21 hours
Training: 2021-07-14 15:16:54,238-Speed 1004.93 samples/sec   Loss 28.9590   Epoch: 0   Global Step: 8700   Required: 21 hours
Training: 2021-07-14 15:17:06,701-Speed 1027.06 samples/sec   Loss 28.8045   Epoch: 0   Global Step: 8750   Required: 21 hours
Training: 2021-07-14 15:17:19,195-Speed 1024.53 samples/sec   Loss 28.8180   Epoch: 0   Global Step: 8800   Required: 21 hours
Training: 2021-07-14 15:17:31,673-Speed 1025.81 samples/sec   Loss 28.8387   Epoch: 0   Global Step: 8850   Required: 21 hours
Training: 2021-07-14 15:17:44,410-Speed 1005.03 samples/sec   Loss 28.5191   Epoch: 0   Global Step: 8900   Required: 21 hours
Training: 2021-07-14 15:17:55,658-Speed 1137.95 samples/sec   Loss 28.5913   Epoch: 0   Global Step: 8950   Required: 21 hours
Training: 2021-07-14 15:18:07,605-Speed 1071.49 samples/sec   Loss 28.6742   Epoch: 0   Global Step: 9000   Required: 21 hours
Training: 2021-07-14 15:18:19,964-Speed 1035.68 samples/sec   Loss 28.5932   Epoch: 0   Global Step: 9050   Required: 21 hours
Training: 2021-07-14 15:18:31,954-Speed 1067.61 samples/sec   Loss 28.4419   Epoch: 0   Global Step: 9100   Required: 21 hours
Training: 2021-07-14 15:18:43,696-Speed 1090.14 samples/sec   Loss 28.0303   Epoch: 0   Global Step: 9150   Required: 21 hours
Training: 2021-07-14 15:18:55,697-Speed 1066.56 samples/sec   Loss 28.0892   Epoch: 0   Global Step: 9200   Required: 21 hours
Training: 2021-07-14 15:19:07,136-Speed 1119.00 samples/sec   Loss 28.0937   Epoch: 0   Global Step: 9250   Required: 21 hours
Training: 2021-07-14 15:19:19,381-Speed 1045.40 samples/sec   Loss 27.8714   Epoch: 0   Global Step: 9300   Required: 21 hours
Training: 2021-07-14 15:19:31,521-Speed 1054.38 samples/sec   Loss 27.9570   Epoch: 0   Global Step: 9350   Required: 21 hours
Training: 2021-07-14 15:19:42,810-Speed 1133.89 samples/sec   Loss 27.9387   Epoch: 0   Global Step: 9400   Required: 21 hours
Training: 2021-07-14 15:19:54,102-Speed 1133.59 samples/sec   Loss 27.7972   Epoch: 0   Global Step: 9450   Required: 21 hours
Training: 2021-07-14 15:20:05,903-Speed 1084.70 samples/sec   Loss 28.0180   Epoch: 0   Global Step: 9500   Required: 21 hours
Training: 2021-07-14 15:20:17,446-Speed 1108.90 samples/sec   Loss 27.8266   Epoch: 0   Global Step: 9550   Required: 21 hours
Training: 2021-07-14 15:20:28,986-Speed 1109.23 samples/sec   Loss 27.7577   Epoch: 0   Global Step: 9600   Required: 21 hours
Training: 2021-07-14 15:20:40,256-Speed 1135.77 samples/sec   Loss 27.7957   Epoch: 0   Global Step: 9650   Required: 21 hours
