Training: 2021-07-27 11:43:52,631-rank_id: 0
Training: 2021-07-27 13:49:09,311-Speed 843.78 samples/sec   Loss 25.5217 ArcLoss 24.4445 MSE 1.0772  Epoch: 0   Global Step: 6700   Required: 90 hours
Training: 2021-07-27 13:49:39,626-Speed 844.47 samples/sec   Loss 25.7338 ArcLoss 24.6579 MSE 1.0758  Epoch: 0   Global Step: 6750   Required: 89 hours
Training: 2021-07-27 13:50:09,721-Speed 850.64 samples/sec   Loss 25.4651 ArcLoss 24.3944 MSE 1.0707  Epoch: 0   Global Step: 6800   Required: 89 hours
Training: 2021-07-27 13:50:40,146-Speed 841.42 samples/sec   Loss 25.1507 ArcLoss 24.0822 MSE 1.0685  Epoch: 0   Global Step: 6850   Required: 89 hours
Training: 2021-07-27 13:51:10,456-Speed 844.62 samples/sec   Loss 25.4800 ArcLoss 24.4155 MSE 1.0645  Epoch: 0   Global Step: 6900   Required: 88 hours
Training: 2021-07-27 13:51:40,609-Speed 849.01 samples/sec   Loss 25.5047 ArcLoss 24.4407 MSE 1.0640  Epoch: 0   Global Step: 6950   Required: 88 hours
Training: 2021-07-27 13:52:10,674-Speed 851.48 samples/sec   Loss 25.1318 ArcLoss 24.0719 MSE 1.0599  Epoch: 0   Global Step: 7000   Required: 88 hours
Training: 2021-07-27 13:52:40,764-Speed 850.80 samples/sec   Loss 24.9984 ArcLoss 23.9408 MSE 1.0576  Epoch: 0   Global Step: 7050   Required: 88 hours
Training: 2021-07-27 13:53:10,931-Speed 848.62 samples/sec   Loss 24.8102 ArcLoss 23.7584 MSE 1.0517  Epoch: 0   Global Step: 7100   Required: 87 hours
Training: 2021-07-27 13:53:40,976-Speed 852.07 samples/sec   Loss 24.9387 ArcLoss 23.8895 MSE 1.0492  Epoch: 0   Global Step: 7150   Required: 87 hours
Training: 2021-07-27 13:54:11,013-Speed 852.28 samples/sec   Loss 24.7976 ArcLoss 23.7493 MSE 1.0483  Epoch: 0   Global Step: 7200   Required: 87 hours
Training: 2021-07-27 13:54:41,310-Speed 844.97 samples/sec   Loss 25.1107 ArcLoss 24.0618 MSE 1.0489  Epoch: 0   Global Step: 7250   Required: 86 hours
Training: 2021-07-27 13:55:11,599-Speed 845.20 samples/sec   Loss 24.7262 ArcLoss 23.6821 MSE 1.0442  Epoch: 0   Global Step: 7300   Required: 86 hours
Training: 2021-07-27 13:55:41,883-Speed 845.34 samples/sec   Loss 24.8227 ArcLoss 23.7832 MSE 1.0395  Epoch: 0   Global Step: 7350   Required: 86 hours
Training: 2021-07-27 13:56:11,944-Speed 851.63 samples/sec   Loss 24.6567 ArcLoss 23.6186 MSE 1.0380  Epoch: 0   Global Step: 7400   Required: 86 hours
Training: 2021-07-27 13:56:42,257-Speed 844.52 samples/sec   Loss 24.8334 ArcLoss 23.7977 MSE 1.0357  Epoch: 0   Global Step: 7450   Required: 85 hours
Training: 2021-07-27 13:57:12,550-Speed 845.08 samples/sec   Loss 24.3660 ArcLoss 23.3332 MSE 1.0327  Epoch: 0   Global Step: 7500   Required: 85 hours
Training: 2021-07-27 13:57:42,689-Speed 849.42 samples/sec   Loss 24.7575 ArcLoss 23.7270 MSE 1.0305  Epoch: 0   Global Step: 7550   Required: 85 hours
Training: 2021-07-27 13:58:12,760-Speed 851.33 samples/sec   Loss 24.3795 ArcLoss 23.3545 MSE 1.0251  Epoch: 0   Global Step: 7600   Required: 85 hours
Training: 2021-07-27 13:58:42,914-Speed 848.98 samples/sec   Loss 24.2866 ArcLoss 23.2647 MSE 1.0219  Epoch: 0   Global Step: 7650   Required: 84 hours
Training: 2021-07-27 13:59:12,963-Speed 851.95 samples/sec   Loss 24.0486 ArcLoss 23.0298 MSE 1.0188  Epoch: 0   Global Step: 7700   Required: 84 hours
